S.No.,Statement,Predicate
1,"If you're busy, focus on priorities.",
2,"If you're dedicated, work consistently.",
3,"If the mosquito bites, don't scratch.",
4,"If the computer crashes, restart it.",
5,"If the sweater shrinks, donate it.",
6,"If you're lonely, call a friend.",
7,"If you're sincere, mean what you say.",
8,"If you smell gas, open the windows.",
9,"If you're wise, learn from mistakes.",
10,"If the sky is dark, take an umbrella.",
11,"If you're persistent, don't give up.",
12,"If the door squeaks, oil the hinges.",
13,"If the car won't start, call a mechanic.",
14,"If the shoes fit, buy them.",
15,"If the phone rings, could you answer it?",
16,"If you're energetic, exercise.",
17,"If you eat too much sugar, you'll get a toothache.",
18,"If you're thirsty, drink water.",
19,"If my dog hears a noise, he always barks.",
20,"If the leaves fall, rake them.",
21,"If you're grateful, say thanks.",
22,"If you're confident, take the lead.",
23,"If you're wrong, admit it.",
24,"If you're lucky, appreciate it.",
25,"If you're resourceful, find solutions.",
26,"If the soup boils, lower the heat.",
27,"If the cake is ready, take it out of the oven.",
28,"If you study hard, you'll pass the test.",
29,"If you're kind, help others.",
30,"If the storm comes, stay inside.",
31,"If the food is hot, let it cool.",
32,"If you want to succeed, work hard.",
33,"If the fire alarm sounds, evacuate.",
34,"If the door is locked, use your key.",
35,"If she arrives early, we can start the meeting sooner.",
36,"If you're determined, keep trying.",
37,"If you mix blue and yellow, you get green.",
38,"If you're ready, let's begin.",
39,"If you break something, please tell me.",
40,"If the mail arrives, bring it in.",
41,"If the ice is thin, stay off.",
42,"If you're confused, ask questions.",
43,"If you're adventurous, try new things.",
44,"If you're creative, make something.",
45,"If the plant looks dry, water it.",
46,"If I had more time, I would learn to play piano.",
47,"If you're productive, manage time.",
48,"If the music is too loud, turn it down.",
49,"If winter comes, spring can't be far behind.",
50,"If the garden grows, share produce.",
51,"If you're responsible, fulfill duties.",
52,"If you're scared, hold my hand.",
53,"If you feel sick, stay home.",
54,"If we hurry, we won't be late.",
55,"If you see Sarah, tell her I said hello.",
56,"If the bird sings, listen carefully.",
57,"If you finish first, help others.",
58,"If you're happy, smile.",
59,"If the fruit ripens, eat it soon.",
60,"If the bell rings, answer the door.",
61,"If the weather is nice, let's go hiking.",
62,"If you're punctual, arrive early.",
63,"If it snows, schools might close.",
64,"If the clock stops, change batteries.",
65,"If you're excited, share the news.",
66,"If you're respectful, listen well.",
67,"If the light is red, stop driving.",
68,"If you're worried, talk to someone.",
69,"If you're lost, ask for help.",
70,"If you're skilled, teach others.",
71,"If the baby cries, check on them.",
72,"If the ice cream melts, put it back.",
73,"If the wind blows, close the windows.",
74,"If the dog barks, check who's there.",
75,"If the water boils, add the pasta.",